INFO  - 2014-02-07 16:41:59.257; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-02-07 16:41:59.276; org.apache.solr.core.SolrResourceLoader; Using JNDI solr.home: /data/solr
INFO  - 2014-02-07 16:41:59.278; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/data/solr/'
INFO  - 2014-02-07 16:41:59.441; org.apache.solr.core.ConfigSolr; Loading container configuration from /data/solr/solr.xml
INFO  - 2014-02-07 16:41:59.697; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2014-02-07 16:41:59.707; org.apache.solr.core.CoreContainer; New CoreContainer 864886367
INFO  - 2014-02-07 16:41:59.707; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/data/solr/]
INFO  - 2014-02-07 16:41:59.726; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-02-07 16:41:59.726; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-02-07 16:41:59.727; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-02-07 16:41:59.727; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-02-07 16:41:59.727; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-02-07 16:41:59.727; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-02-07 16:41:59.728; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-02-07 16:41:59.728; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-02-07 16:41:59.728; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-02-07 16:41:59.907; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-02-07 16:41:59.909; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-02-07 16:41:59.949; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /data/solr
INFO  - 2014-02-07 16:41:59.972; org.apache.solr.core.CorePropertiesLocator; Found core fs-user in /data/solr/fs-user/
INFO  - 2014-02-07 16:41:59.973; org.apache.solr.core.CorePropertiesLocator; Found core fs-voice in /data/solr/fs-voice/
INFO  - 2014-02-07 16:41:59.973; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /data/solr/collection1/
INFO  - 2014-02-07 16:41:59.973; org.apache.solr.core.CorePropertiesLocator; Found 3 core definitions
INFO  - 2014-02-07 16:41:59.981; org.apache.solr.core.CoreContainer; Creating SolrCore 'fs-voice' using instanceDir: /data/solr/fs-voice
INFO  - 2014-02-07 16:41:59.981; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /data/solr/collection1
INFO  - 2014-02-07 16:41:59.975; org.apache.solr.core.CoreContainer; Creating SolrCore 'fs-user' using instanceDir: /data/solr/fs-user
INFO  - 2014-02-07 16:41:59.984; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/data/solr/collection1/'
INFO  - 2014-02-07 16:41:59.984; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/data/solr/fs-voice/'
